unix_ts,iso_time,control,command,field_name,value,raw_hex
1785780303.584818,2026-08-03T14:05:03.584-04:00,0x81,0x02,breathing_rate_bpm,14,53 59 81 02 00 01 0e 3e 54 43
1785780303.994397,2026-08-03T14:05:03.994-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780304.199955,2026-08-03T14:05:04.199-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780305.018581,2026-08-03T14:05:05.018-04:00,0x80,0x02,motion_state,1,53 59 80 02 00 01 01 30 54 43
1785780305.018581,2026-08-03T14:05:05.018-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780305.221018,2026-08-03T14:05:05.221-04:00,0x80,0x05,target_x_cm,21,53 59 80 05 00 06 00 15 00 37 00 00 83 54 43
1785780305.221018,2026-08-03T14:05:05.221-04:00,0x80,0x05,target_y_cm,55,53 59 80 05 00 06 00 15 00 37 00 00 83 54 43
1785780305.221018,2026-08-03T14:05:05.221-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 15 00 37 00 00 83 54 43
1785780305.627192,2026-08-03T14:05:05.627-04:00,0x85,0x02,heart_rate_bpm,72,53 59 85 02 00 01 48 7c 54 43
1785780306.033849,2026-08-03T14:05:06.033-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780306.234862,2026-08-03T14:05:06.234-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780306.644442,2026-08-03T14:05:06.644-04:00,0x81,0x02,breathing_rate_bpm,14,53 59 81 02 00 01 0e 3e 54 43
1785780306.849735,2026-08-03T14:05:06.849-04:00,0x80,0x02,motion_state,2,53 59 80 02 00 01 02 31 54 43
1785780307.054883,2026-08-03T14:05:07.054-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
